bigram,count,sem,mean,std,skew,kurtosis
ck,1254,0.00560951815206,0.200744816766,0.198643485039,4.83613934218,39.5676877561
cl,544,0.0176594404494,0.187145223365,0.411885391001,20.1827673238,441.860281739
cn,53,0.0305619061652,0.319415087934,0.222494035308,1.65171046858,2.87229758329
co,3110,0.00231062257814,0.162784244464,0.128857353429,5.27289712243,54.1926146649
cr,499,0.00470732679003,0.25230260521,0.105153715239,2.75761113382,11.0230211089
ct,1080,0.00523824180627,0.253500925926,0.172146191938,7.91657757813,101.502037446
cu,851,0.00530968344951,0.200773207491,0.154893577408,3.86604246938,25.171683973
cy,79,0.0213664373427,0.268164556962,0.189909049107,2.53247508497,7.86808254517
da,1880,0.00629951177706,0.191438298131,0.273140321855,24.0391465453,785.390860174
dd,266,0.0185785893005,0.222003759915,0.303007621662,6.10696406468,40.337683536
de,2697,0.00297803531635,0.211141639048,0.154657261872,17.7137569082,523.098391641
df,113,0.0410119513219,0.176973454636,0.435963022617,7.24572759728,57.6719927197
dg,77,0.0297833865596,0.265272727273,0.261348156396,3.708110946,18.8043726702
dh,80,0.0357778974094,0.22015,0.320007242798,4.31513101565,23.5436888757
di,1870,0.00542162701831,0.18221176433,0.234450109646,18.1011263327,464.31907083
dj,48,0.0270645159329,0.125979166667,0.187508466712,4.84870313938,26.8275657639
dk,54,0.0280821355295,0.132555555556,0.206360708805,4.39682189198,21.6775439711
dl,144,0.0216489908372,0.2428125,0.259787890046,6.63633969368,58.5580956026
dn,309,0.0180492260306,0.268042071197,0.317276439613,3.64749112752,17.5315944955
do,2027,0.00511927091386,0.161801183226,0.230480924624,24.8763430538,863.661991922
dr,535,0.00425357183681,0.232902803995,0.0983854016277,2.70502555462,11.5694538498
ds,1407,0.00549144114342,0.223367448472,0.20598394997,4.37839444096,28.1442568946
du,300,0.0110134989568,0.206126666667,0.190759397623,5.88201867568,52.7361435994
dv,71,0.0173699087582,0.315802816901,0.146361452743,0.96244236318,0.754483704086
dy,307,0.00939106239461,0.233986972026,0.164544705901,2.14314372026,5.63871802299
ea,7550,0.00186860226631,0.210929404087,0.162364226183,6.3140377391,81.5187844648
eb,206,0.0171313650773,0.307601941748,0.245881345162,3.5079395657,19.5943989872
ec,2237,0.00453407668233,0.283281627179,0.214447927234,13.1154277001,294.787696426
ed,6624,0.00159777734932,0.230124698039,0.130039838672,7.59194206176,97.186623693
ee,3533,0.00282616107634,0.191364845465,0.167984313718,14.3174430717,286.452049872
ef,862,0.00992793041422,0.296990719258,0.291482413862,7.6927807521,93.915821579
eg,371,0.011706144449,0.316929919137,0.225476265773,3.18163782522,14.7281733799
eh,238,0.0232864889766,0.262588235294,0.359246454942,5.60325928779,49.4499903795
ei,692,0.00863928915443,0.233169074717,0.227264215021,3.85026583645,20.0688941762
ek,793,0.00684128940529,0.220612862502,0.192652458838,3.20304395467,13.7660255597
el,4782,0.00401100370015,0.245460267218,0.277368953858,8.27475074324,117.759807416
em,1619,0.00665480165257,0.243475602505,0.267767916995,7.76752250361,117.224856944
en,7202,0.00201540355943,0.191505137351,0.171036412953,5.94949698512,58.1657471874
eo,414,0.0147250917408,0.241070048309,0.299611293654,4.69714490227,27.8658087303
ep,610,0.0133410041234,0.265231147341,0.329498495478,10.6254651717,169.935509869
eq,64,0.0455984351599,0.391328125,0.364787481279,4.33150954881,23.082066385
er,10479,0.0013763114663,0.148411203366,0.140888857794,16.5477791859,549.860946441
es,5600,0.00306612220691,0.259612857115,0.229447576085,9.97681581297,183.609563547
et,3468,0.00361915694156,0.211712226023,0.213131165914,11.8280545772,229.492890448
ev,1364,0.00867384338875,0.268310117213,0.320345598779,14.5871474159,312.169029057
ew,1173,0.00781409930432,0.265520886616,0.267625771425,4.37093916713,31.5413095954
ex,732,0.00741945258738,0.340558743169,0.200736988474,3.14670649708,13.8127343901
ey,1321,0.00534176837713,0.190442846307,0.194149582772,5.85655978647,53.4612484838
fa,1315,0.00302481241644,0.164860836502,0.109688557076,5.49275859359,50.5358119191
fd,53,0.0233124395113,0.14141509434,0.169717121429,2.06405770409,4.40978431718
fe,2187,0.00313693465527,0.190832190391,0.14669991548,9.82520636365,170.61967908
ff,672,0.00526232292116,0.179282738095,0.136415001293,10.9933336721,150.911378165
fg,55,0.0229836814123,0.126290909091,0.170451543318,2.90572150385,8.81330598579
fh,119,0.021479629401,0.0987478991597,0.234315093464,5.5213534562,33.0695247384
fi,1378,0.00328283146822,0.168661102624,0.121863373556,3.34133329143,16.4995787645
fj,67,0.00711595692247,0.0775970149254,0.0582466177199,0.847534058086,-0.138915942429
fk,61,0.00900947523955,0.094606557377,0.0703662510698,1.37730940045,2.06069719554
fl,334,0.00943058033434,0.209356287425,0.172350144699,3.50920606201,20.6400284041
fo,2479,0.00224248368006,0.15800484114,0.111652269319,4.40327625123,35.4458213233
fr,1632,0.00344711457341,0.219655637247,0.139256602629,5.74589928408,47.8197305525
fs,55,0.0330087988567,0.207981818182,0.244799804142,6.03748926125,39.1760781189
ft,1010,0.00387260091709,0.23686039604,0.123073182463,6.96431941352,73.9556972272
fu,1089,0.00569029864975,0.206170798898,0.187779855442,6.64869998191,68.5252180994
fw,36,0.0221939840427,0.226055555556,0.133163904256,1.20065358836,1.27760159289
fy,37,0.0320113904886,0.256540540541,0.194717686607,1.0745986459,0.597123755609
